"Title","Description","Country","Budget","Total Ratio","GDO Classification","Seven Flagship Classification"
"Strengthening of professional skills and reduction of temporary employment","Strengthen the staffing of doctors and nurses, reduce their temporary work, improve their working conditions and enhance their training and professional development.","Spain","0","0","Other","Other/Uncategorised"
"Strengthening of taxpayer assistance.","The implementation of a new comprehensive assistance model in the Tax Agency through the ADIs and the improvement of the tax data offered within the framework of the Corporation Tax.","Spain","0","0","Other","Other/Uncategorised"
"Strengthening Research and Development - Enlarged partnerships extended to universities, research centres, enterprises and funding basic research projects","To finance R&D projects, within the framework of 10 “missions”, involving the participation of enlarged partnerships – extended to universities, research centres, companies – able to cover the full spectrum of the level of technological maturity (from basic research to industrial research, to experimental development)","Italy","1610","0.84","Other","Other/Uncategorised"
"Strengthening Research and Development - Fund for new researchers","Funding – on the model of ERC calls, in Horizon Europe‘s pillar Excellent Science — research activities run by young researchers for 5 years, in order to enable them to gain a first experience of research responsibility","Italy","600","0.31","Other","Reskill and Upskill"
"Strengthening Research and Development - Fund for PNR and PRIN","The purpose of the Fund is to strengthen the supportive measures for scientific research set out in the National Research Programme (NRP) 2021-2027 in order to ensure the implementation of the scientific research strategy lines in line with the European Union’s Research and Innovation Framework Programme","Italy","1800","0.94","Other","Other/Uncategorised"
"Strengthening Research and Development - Strengthening research facilities and creation of national R&D samples on Key Enabling Technologies","Finance the creation of 7 active centres in as many frontier technological domains by  strengthening the provision of research infrastructures and highly qualified personnel. In detail:  National Centre for Artificial Intelligence (the Institute will be based in Turin).  National Centre of High Technology Environment and Energy.  National Centre of High Technology quantum computing.  National Centre of High Technology for Hydrogen.  National Centre of High Technology for Biopharmaceuticals.  Agri-Tech National Centre (the Agri-Tech Polo will be based in Naples).  Fintech National Centre (the Polo will be based in Milan).","Italy","1600","0.84","Other","Other/Uncategorised"
"Strengthening Research and Development and IPCEI initiatives - Innovation ecosystems and territorial champions of R&D","Finance the creation of 20 ""territorial champions of R&D"" that, characterised by a  specialisation linked to the productive and research vocations of a territory, put into a system, around an excellence (typically, University or Research Centre/Infrastructure), scientific competences and facilities, promoting, according to a market-oriented approach, the link between research and industry","Italy","1300","0.68","Other","Other/Uncategorised"
"Strengthening Scotland's international position (Scotland)","In order to strengthen Scotland’s international relationships, presence and voice, the Scottish Government will:  •	Establish Scottish Government offices in Copenhagen and Warsaw to promote Scotland’s interests and reputation in the Nordic and Central European regions. •	Review approaches to future policy and economic engagement with a view to enhancing Scotland’s global reach and presence over this parliamentary session. This will include an increased focus on the Global South. •	Provide additional resources to Screen Scotland for the purpose of facilitating year-round engagement between the Scottish and international film & television industries, with a particular emphasis on the USA.","United Kingdom","0","0","Other","Other/Uncategorised"
"Strengthening support for green homes and buildings (Scotland)","The Scottish Government has committed to strengthening policy and delivery framework for green homes and buildings, including: •	Phasing out the need to install new or replacement fossil fuel boilers, in off gas from 2025 and in on gas areas from 2030, subject to technological developments and decisions by the UK Government in reserved areas.  •	Introducing primary legislation, subject to consultation and to limits on devolved competence, that provides the regulatory framework for zero emissions heating and energy efficiency, and underpinning powers to support this transition and ambitious programme. •	Developing and agreeing through consultation a series of phased targets starting in 2024, with the most difficult buildings like hospitals being decarbonised by 2038, and for all publicly-owned buildings to meet zero emission heating requirements, with a backstop of 2038.  •	Scaling up public investment to both meet Scotland's targets and secure a green recovery from the COVID-19 pandemic. The Scottish Government will invest at least £1.8 billion over this parliamentary session, allowing us to accelerate energy efficiency upgrades and renewable heating deployment, and creating new jobs and supply chain opportunities across Scotland. •	That all new buildings where a building warrant is applied for from 2024 must use zero emissions heating as the primary heating source and meet significantly higher energy efficiency standards. •	Consult on reforms for Energy Performance Certificates to better align to net-zero and to underpin a future regulatory framework for heat in buildings. •	Immediately end public subsidies for oil and LPG boilers. •	Enable local government and housing associations to provide whole home retrofits where needed, helping to upgrade the most inefficient and expensive to heat social homes to the highest possible standard in one leap. •	To invest at least £400 million over this parliamentary session in heat and energy efficiency projects, including providing support for zero carbon local and district heat networks, including large scale heat pumps. •	To provide additional support for rural and islands homes which require bespoke and targeted advice. •	To require home and building upgrades at the point of sale, change of tenancy, and refurbishment to meet at least EPC C standards or equivalent, on a mandatory basis, from 2025 onwards. To ensure the approach is fair, and to avoid unintended consequences, this will be subject to a detailed consultation in 2022 and supported by an upscaled grants and advisory service. As a backstop, and to ensure Scotland meet its climate targets, they will require all homes to be upgraded by 2033. •	To immediately increase the cash-back available to home and building owners on measures to improve the efficiency of buildings and install zero emission heating, and to replace with a grant scheme to support energy efficiency and zero emission heat improvements in 2022/23. To support this, deliver a public communications programme to raise awareness of the support and advisory services available and to encourage home upgrades. •	To introduce Fair Work standards as a condition to public sector heat and energy efficiency contracts.","United Kingdom","0","0.66","Green","Renovate"
"Strengthening the apprenticeship system","The aim of the reform is to reestablish the OAED EPAS (apprenticeship vocational schools of the public employment service) as an integral part of the government’s strategy for vocational education and training (VET) and youth employment.","Greece","143","0.79","Other","Reskill and Upskill"
"Strengthening the capacities, infrastructures and equipment of the SECTI agents","Strengthening the capacities, infrastructures and equipment of public research agents.","Spain","445.19","0.63","Other","Reskill and Upskill"
"Strengthening the capacity of the financial system to overcome legacy challenges and finance the real economy","This project concerns the creation a private debt monitoring database, a key step for the implementation of the new insolvency strategy. It also foresees the establishment and operation of a Public Credit Bureau and a Central Credit Registry, that will provide information on the creditworthiness of borrowers, businesses and individuals. The aim is to provide easier access to credit information, tackling existing market failures due to asymmetric information, thus, facilitating access to credit.","Greece","5","0.03","Other","Other/Uncategorised"
"Strengthening the national anti-corruption framework through targeted interventions in the fields of detection, prevention and raising awareness","This package for detecting and preventing corruption that pivots around the National Anti-Corruption Agency, encompasses both reforms, such as regulatory interventions in key policy fields (i.e. whistle-blowers protection, “lobbying”, conflict of interest, etc.), the strengthening of Internal Control System of the public administration, the drafting of ethics codes and a National Anti-Corruption Action Plan for the period 2022-2025; and investments in the agency’s digital capacities and staff.","Greece","8","0.04","Other","Other/Uncategorised"
"Stroke aftercare (Scotland)","The Scottish Government aims to introduce a high quality and clinically safe thrombectomy service to ensure those that experience a severe stroke receive the best possible care, reducing their risk of a long term disability.","United Kingdom","1","0","Other","Other/Uncategorised"
"Subidised employment contract for young peoples : job and competencies path , and employment initiative contracts","Increase the number of job and competencies path contracts and of employment initiative contracts","France","317","0.78","Other","Other/Uncategorised"
"Submarine fiber cables","Deployment of modern submarine fiber cables that will connect mainland Greece with its islands and Cyprus. It will remove a major obstacle in the availability of high-speed broadband services to end-users, both through fixed and mobile networks, and enhance the capacity and resilience of the backhaul infrastructure in support of 5G.","Greece","89","0.49","Digital","Connect"
"Substitution of the sustainability factor by an intergenerational equity mechanism","The introduction of a new instrument is foreseen to establish the fundamental parameters of sustainability of the pension system so that they are reviewed periodically within the framework of the Toledo Pact and depending on the balance between the employed population and the pensioner population and the level of aggregate expense.","Spain","0","0","Other","Other/Uncategorised"
"Super-deduction on green economy, energy and digitisation","Tax credits for selected investments accelerating the green and digital transitions. The measure aims to strengthen investment, especially by small and medium-sized enterprises, in equipment related to climate change adaptation and the promotion of a circular economy, and digitalisation","Greece","0","0","Other","Other/Uncategorised"
"Superfast Broadband Programme (Wales)","The Welsh Government aims to boost the Superfast Broadband Programme which supports Welsh businesses to increase their digital presence, online trading and digital innovation.","United Kingdom","0","0","Digital","Connect"
"Supply of central cloud computing infrastructure and services","The investment seeks to enhance the operation of key institutions of the Ministry of Digital Governance, namely GSISPA and IDIKA SA, through the deployment of the necessary cloud computing infrastructure and services (in accordance with Law 4727/2020) following international best practices for the implementation of government cloud infrastructure and services (G-Cloud).","Greece","95","0.52","Digital","Modernise"
"Support for hiring a young peoples less than 26 years old","Support for hiring a young peoples less than 26 years old for contracts concluded between 01/08/2020 and 31/03/2021","France","803","1.97","Other","Reskill and Upskill"
"support for the personal training account to develop digital competences","Increase the financial amount of personal training account for digital training","France","25","0.06","Digital","Reskill and Upskill"
"Support for the purchase of clean vehicles in the automobile plan","Bonus for clean vehicles, premium for the conversion of light vehicles, premium for the conversion and acquisition of heavy vehicles, accelerating the development of recharge points with an objective of 100 000 by the end of 2021","France","985","2.41","Green","Recharge and Refuel"
"Support innovative firms","Support to innovation from Bpifrance aiming at financing feasibility studies, industrial research and experimental development, innovation contest aiming at accompanying creation and growth of innovative and strongly technological firms, support to structuring R&D projects","France","750","1.84","Other","Other/Uncategorised"
"Support of the installation of storage systems to enhance RES penetration","Enhancement of energy storage of up to 1380 MW (pump storage-batteries) so that the distribution of electricity does not face risks and at the same time the production of renewable sources can be used more efficiently without losing their production surplus caused by different flows of supply and demand","Greece","450","2.47","Green","Power Up"
"Support plan for the implementation of waste regulations and the promotion of the circular economy","The specific actions are: 1. Implementation of new separate waste collections, especially bio-waste, and improvement of existing ones, 2. Construction of specific facilities for the treatment of separately collected bio-waste, 3. Construction of new preparation facilities for reuse and recycling of other separately collected waste streams, 4. Investments related to collection, sorting and sorting facilities. 5. Development of digitization instruments for environmental management, 6. Promotion of the circular economy in the field of the company.","Spain","850","1.21","Green","Other/Uncategorised"
"Support program for sustainable and digital transport","Improve the efficiency of the transport system by digitizing and introducing new technologies in the sector, and supporting the most sustainable means of transport, particularly railway transport.","Spain","800","1.13","Digital","Recharge and Refuel"
"Support to cultural and heritage sectors","Invesment in heritage : cathedral plan; historical monuments renovation, museum, archeology, support to press, books and cinema sectors","France","703","1.72","Other","Other/Uncategorised"
"Support to employers for trainees","Support to all employers for all traineeship concluded between 01/07/2020 and 31/12/2021","France","2347","5.75","Other","Reskill and Upskill"
"Support to employers of profesionnalisation contracts","Support to all employers for all professionalisation contract concluded between 01/07/2020 and 31/12/2021","France","800","1.96","Other","Reskill and Upskill"
"Support to employers to hire handicapped workers","Financial support aming at subsidising contracts between 01/09/2020 and 30/06/2021.","France","43","0.11","Other","Other/Uncategorised"
"Support to exports","The aim of this measute is to support SME's exports despite the COVID crisis","France","0","0","Other","Other/Uncategorised"
"Support to higher education, research and innovation system","transformation of education system at all level to pull them up at the best world level.Financing of laboratories, equipments and research programs. Increase the effort related to biomedical research.","France","750","1.84","Other","Reskill and Upskill"
"Support to key markets in green technologies","This program will focus on three main points : decarbonized hydrogen, sustainable and healthy food and the development of solutions for the city of tomorrow","France","1700","4.17","Green","Power Up"
"Support to people in great precarity","Construction of new structures :homeless shelters, collective kitchens and to rehabilitate existing structures. Give support to association fighting against poverty","France","0","0","Other","Other/Uncategorised"
"Support to R&D employment","Assign partially firm's R&D personnel in laboratories, allow engineers and master 2 to access a doctoral training, assign master level persons working in research operators to firms","France","300","0.74","Other","Reskill and Upskill"
"Support to research and innovation - Fund for infrastructures integrated research and innovation","To create research infrastructure network will support the opening up of new development and innovation trajectories linking academia with industry. 30 Infrastructures each of them with a research manager.","Italy","1580","0.83","Other","Reskill and Upskill"
"Support to research and innovation - Innovative PhDs for business and placement of researchers in companies","Finance the enhancement of high-profile skills, particularly in the areas of Key Enabling  Technologies, through:  (T1) the establishment of dedicated PhD programmes, with the contribution and involvement  of enterprises, including by encouraging research spin-offs.  (T2) incentives for the recruitment of junior precarious researchers by companies","Italy","600","0.31","Other","Reskill and Upskill"
"Support to research and innovation - Start-up","Invest in small-medium companies for 700 mln euro","Italy","300","0.16","Other","Other/Uncategorised"
"Support to the aeronautic sector","Preserve critical know-how and increase the competitiveness of SME's with supports on investments in new process and installations, accelerate the diversification, modernisation and environmental transformation through direct subsidies, support R&D and innovation for future clean plains","France","1670","4.09","Green","Other/Uncategorised"
"Support to the Automobile sector","Preserve critical know-how and increase the competitiveness of SME's with supports on investments in new process and installations, accelerate the diversification, modernisation and environmental transformation through direct subsidies, support R&D and innovation for future Green vehicles","France","0","0","Green","Recharge and Refuel"
"Support to the Nuclear sector","Support for training in critical jobs in the nuclear sector, support for firms for modernization and R&D, and support for the development of small modular reactors","France","0","0","Green","Power Up"
"Supporting a highly skilled and agile workforce (Northern Ireland)","To focus on improving the skills profile of the working population, and ensure Northern Ireland’s young people are well equipped for entry into the labour market, the Northern Ireland Executive will: •	Grow and maintain the apprenticeship system as a critical skills pipeline for industry and valuable employment, particularly for young people, by providing incentives to employers to return apprentices from furlough and recruit new Apprentices.  •	Continue to deliver a New Apprenticeship Recruitment Initiative to encourage and support employers create apprenticeship opportunities for both new apprentices and apprentices who have been displaced by other employers and extend the initiative. •	Make apprenticeship opportunities available to more people and sectors by amending age-related criteria; and, establishing public sector apprenticeships as a way of growing skills and supporting opportunities for new employment and re-training.  •	Develop Northern Ireland’s Youth Training system to ensure young people with the skills to progress to higher levels of education or successfully enter the labour force, through vocational education, training and work experience, and developing these pathways further to support higher level 3 skills attainment. •	Ensuring that the Further and Higher Education sectors continue to play a key role in the response to COVID-19, raising skills levels and increasing productivity of the future workforce, and examining ways to ensure greater alignment between study and the needs of the economy. •	Launch a new Northern Ireland Skills Strategy, to help employers and individuals attain the skills needed to grow our economy and boost productivity, by addressing existing skills imbalances, improving lifelong learning, with a focus on the digital spine which cuts across all sectors. •	Build upon the existing vocational education infrastructure by establishing a Northern Ireland Skills Board, bringing together employers, providers and trade unions to progress the skills agenda, supported by sector specific action plans and skills hubs at a local level.","United Kingdom","0","0","Other","Reskill and Upskill"
"Supporting adult social care services (Wales)","The Welsh Government will provide funding to support adult social care services during the COVID-19 pandemic, helping to meet the increased costs of PPE, food, staffing costs and ICT.","United Kingdom","48","0.01","Other","Other/Uncategorised"
"Supporting and promoting active travel (Scotland)","The Scottish Government aims to grow active travel, which contributes to a healthier community and helps meet net zero commitments. This 5-year project will support transformational change to streetscapes and promote acti`ve travel as a healthier, greener alternative. The Scottish Government will also increase the proportion of Transport Scotland's budget spent on Active Travel initiatives so that by 2024-25 at least £320 million or 10% of the total transport budget will be allocated to active travel. To further support growth in active travel, the Scottish government will:  •	Encourage local authorities to deliver more Safe to School initiatives, with the aim of ensuring every child who lives within two miles of school is able to walk or wheel safely •	All appropriate roads in built up areas will have a safer speed limit of 20mph by 2025. To accompany this, Scotland will publish an analysis of options to assess and identify demand management options at the local and national level to encourage the use of active travel and public transport as an alternative to cars. •	Transport Scotland will work with Police Scotland to develop a one year pilot project to develop an online reporting system enabling anyone to upload camera footage of dangerous driving. •	Support for the purchase of new buses will be, where appropriate, conditional on space being available for bike transport in addition to wheelchair and buggy space. •	Transport Scotland will work with local and regional transport authorities on the establishment of an active freeway network for Scotland comprising local networks within towns and cities and connecting settlements and major destinations with high quality, safe routes. •	During this parliamentary session, new roads projects will normally only be taken forward where they reduce the maintenance backlog; address road safety concerns or adapt the network to deal with the impacts of climate change or benefit communities such as bypassing settlements. Scotland will not build road infrastructure to cater for forecast unconstrained increases in traffic volumes. •	Take forward a transport enhancements programme on the A96 corridor that improves connectivity between surrounding towns, tackles congestion and addresses safety and environmental issues. The corridor will be reviewed with the aim of implementing bus priority measures.","United Kingdom","595","0.18","Green","Recharge and Refuel"
"Supporting apprenticeships and traineeships (Northern Ireland)","To support apprentices and trainees, the Northern Ireland Executive have: •	Supported ways to identify and deliver innovative approaches to tackle barriers to participation in the apprenticeship system through a £500,000 Apprenticeship Challenge Fund. •	Introduced the Northern Ireland Traineeship programme. This level 2 Vocational Education and Training programme will improve outcomes for up to 1900 young people when it launches in September 2021, rising to 4500 per annum in September 2022.","United Kingdom","1","0","Other","Reskill and Upskill"
"Supporting business with trade","The UK Government will support UK business to make the most of the opportunities that come with exporting and participating in an integrated global trade and investment system through: •	A UK tariff policy tailored to the needs of UK businesses and consumers, almost doubling the amount of tariff lines that are zero-rated relative to the EU Common External Tariff, eliminating nuisance tariffs, removing tariffs on inputs to production, and simplifying the schedule. •	A refreshed Export Strategy to align our support for exporters with our plan for growth and sectoral priorities. •	New Trade and Investment Hubs in Scotland, Wales and Northern Ireland. •	A £38 million Internationalisation Fund to support up to 7,600 SMEs to grow their overseas trading. •	The Export Aca demy, which will provide a series of activities to build the capabilities of smaller businesses to trade internationally. •	Expanding UK Export Finance support, comprising: increased lending with £8 billion overall capacity, including £2 billion dedicated to clean growth exports. New Export Development Guarantee and General Export Facility products launched providing working capital support for large and small exporters.","United Kingdom","0","2.94","Other","Other/Uncategorised"
"Supporting businesses to achieve international trade (Northern Ireland)","To support businesses grow their international platform, trade and export potential and attract investors, the Northern Ireland Executive will:  •	Roll out a new Export Health Check for NI businesses to establish export readiness, ambition & support needs. •	Support Invest NI to work with partners and stakeholders such as Enterprise NI to refresh and relaunch its Entrepreneurship Forum and develop an Entrepreneurship Action Plan. •	Offer a new International Sales & Marketing Leaders Programme. •	Delivering support via equity funding to innovative early stage companies to leverage additional investment and help these companies develop and market their products and services, thereby supporting external sales and employment growth. •	Expand support through Invest NI to help micro and small businesses (particularly in sectors most impacted by COVID-19) to overcome current economic challenges and sustain businesses while they are planning for future recovery and growth in a post Covid-19 economy. Young, female and part-time workers will be specifically targeted through this support. •	Raise awareness, ambition & confidence to export as a pathway to recovery & growth through an NI-wide marketing campaign. •	Deliver a new international marketing campaign to reinforce ‘Why NI’ for international investors underlining new selling points of post EU Exit opportunities, our resilience and NI as a destination for Covid-driven new business models.","United Kingdom","0","0","Other","Other/Uncategorised"
"Supporting businesses to go green (Scotland)","To support businesses transitioning to net zero, the Scottish Government will consult on:  •	For large businesses: annual public disclosure of how climate change will affect their business, consistent with the recommendations of the Task Force on Climate-Related Financial Disclosures, and the role of Just Transition Plans.  •	For businesses receiving grant or loan / equity funding of over £500k and for major contracts: a commitment to reduce scope 1 and 2 greenhouse gas emissions at a level consistent with Scotland’s 2045 net zero target, including requiring that a published carbon management plan for achieving such targets is made available on the company's website and submitted to the public body providing the funding. •	When to introduce net zero conditionality The Scottish Government will also ensure that: •	The granting of financial and non-financial support by the Scottish Government and those Non-Departmental Public bodies accountable to it will provide additional weighting to applicants who will use the support to reduce emissions, increase carbon sequestration or restore the natural environment. •	They promote a cross party approach in calling for devolution of employment legislation powers to the Scottish Parliament to consider how to support and strengthen application of appropriate conditions to public sector grants, and in advance of devolution of employment law, we will press the UK Government to apply appropriate scoring conditions to public sector grants in Scotland under reserved powers. •	They establish a Grangemouth Future Industry Board to coordinate public sector initiatives on sustainable economic activity at the Grangemouth industrial cluster, whilst supporting its transition to our low carbon future. Following this, the Scottish Government will work with industry, workforce and local communities to consult on the best way to develop and implement sectoral Just Transition Plans, learning from the Grangemouth Future Industry Growth Board. This includes sectors such as chemicals, nuclear and other energy intensive industries.","United Kingdom","0","0","Green","Other/Uncategorised"
"Supporting human rights and equality (Scotland)","To embed equality and human rights approach across policy thinking and development for economic recovery and renewal, the Scottish Government plans to: •	Establish a Centre of Expertise in Equality and Human Rights to further develop Scotland’s understanding and evidence base on equality and human rights and the economy. •	Ensure equality and human rights are embedded in monitoring framework that will sit behind Scotland’s economic recovery. •	Establish a short-life Ministerial Working Group to maintain to ensure ambitions are delivered.","United Kingdom","0","0","Other","Other/Uncategorised"
"Supporting tenants (Scotland)","As part of the (yet to be published) Rented Sector Strategy, the Scottish Government will deliver a new deal for tenants. This new deal will be developed in consultation, and will:  •	create a new housing regulator for the private rented sector to improve standards and enforce tenants’ rights.  •	enhance tenants’ rights, including through greater restrictions on evictions over winter, providing additional security for tenants. •	introduce new rights for tenants, for example giving tenants greater flexibility to decorate their home and to keep pets.  •	put in place additional penalties and compensation for illegal evictions. Following the conclusion of the Rented Sector Strategy consultation Scotland will publish a final Rented Sector Strategy and introduce a Housing Bill in the second year of this parliamentary session, to deliver a number of the legislative changes required to implement the Strategy. Scotland will also implement an effective national system of rent controls, with an appropriate mechanism to allow local authorities to introduce local measures. Scotland will consult on the options, deliver legislation and implement rent controls by the end of 2025","United Kingdom","0","0","Other","Other/Uncategorised"
"Supporting the housing market and first time buyers (Scotland)","To support the housing market’s recovery, the Scottish Government has: •	Made an additional £50 million available for the First Homes Fund to boost the support for first time buyers and to support the housing market to recover. •	Increased the starting rate threshold for Land and Buildings Transaction Tax (LBTT) to £250,000 until the end of next March, means that, excluding the Additional Dwelling Supplement (ADS), some eight of out ten homebuyers and an estimated nine out of ten first time buyers currently pay no LBTT.","United Kingdom","60","0.02","Other","Other/Uncategorised"
"Supporting those in education and apprenticeships (Northern Ireland)","To support young people in education and those undertaking apprenticeships, the Northern Ireland Executive have: •	Adjusted Apprenticeship offering to support new forms of delivery allowing training contractors to adopt flexible delivery models including remote and blended learning.  •	Extended Youth Training Programmes by 13 weeks to make up for lost training time due to Covid-19 restrictions enabling participants to achieve their targeted qualifications.  •	Moved Careers Service functions on-line and worked with the Department for Communities to support those most impacted by the pandemic.  •	Supported individuals impacted by Covid-19, to achieve one of over 90 online, fully accredited qualifications in key areas including digital, leadership and management and employability. These courses have been delivered across the Further and Higher Education sector, ranging from entry level to masters.                                         •	Plans to pilot a range of graduate placement programmes, blending digital and leadership skills with an eight-week internship at a local employer to deliver the commitment to support graduates into employment.","United Kingdom","0","0","Other","Reskill and Upskill"
"Supporting universities (Scotland)","To support and rebuild universities, the Scottish Government has provided £75 million in additional funding to help Scottish universities protect their research and innovation base in the short term. The Government has also commissioned the Scottish Funding Council to consider ways of achieving sustainable, coherent provision of funding to support research and knowledge exchange. In addition, the Government will  take forward actions on their Sustainability Plan for colleges and universities to address resources constraints within the system, the scale of the external shock caused by COVID-19 and achieve sustainability within the sector.","United Kingdom","89","0.03","Other","Other/Uncategorised"
"Sustainable agriculture and the agricultural framework (Scotland)","The Scottish Government aims to ensure the agricultural sector makes the emission reductions required to contribute to Scotland’s emissions targets, to support and deliver nature restoration and a just transition to net zero. To do so they will introduce a Bill to replace the current Common Agricultural Policy framework. The Bill will be introduced in 2023 and will deliver: •	A new support framework that will include delivering climate mitigation and adaptation, nature restoration and high quality food production.  •	Integration of enhanced conditionality against public benefits, with targeted outcomes for biodiversity gain and low emissions production.  •	Increased equality of opportunity, improving business resilience, efficiency and profitability.   To further support agricultural transformation and assist the sector in becoming more sustainable and inclusive whilst reducing emissions, the Scottish Government aims to:  •	Ensure that farmers, crofters and land managers have the right support to deliver high farming standards and low emissions farming.  •	Continue to improve the rights of tenant farmers and small holders so they are not disadvantaged from actively participating in climate change mitigation and adaptation.  •	Explore providing small landholders with the same pre-emptive right to buy as crofters and 1991 Act tenant farmers, and the treatment of the land under their houses. •	Provide more support for women in agriculture and for new and young entrants into farming. •	With a view to re-joining the EU, stay aligned with new EU measures and policy developments ensuring Scotland prioritises the transition to net zero, the restoration of nature and the sustainable production of high quality food.  •	Support the necessary change in land use in Scotland in line with the recommendations of the Just Transition Commission.  •	Support the growth of the organic farming sector through the establishment of a new Organic Food and Farming Action Plan with ambitious targets for at least the doubling of the area of land under organic management by the end of this parliamentary session. •	Provide £40 million of funding for the Agricultural Transformation Fund, assisting the sector to reduce GHG emissions, improve efficiency and enhance the natural environment. •	Support the creation of new agriculture producer organisations to strengthen the position of farmers, food producers and crofters in the supply chain.  •	Develop farmer focused supply chains, new models in a range of markets, with farmers and food producers at their core, with clear contracts and terms.","United Kingdom","48","0.01","Green","Other/Uncategorised"
"Sustainable and integrated public transport (Scotland)","To enhance the quality and availability of public transport, and increase its use by the public, the Scottish Government will: •	Commission a Fair Fares Review to ensure a sustainable and integrated approach to public transport fares. This will look at the range of discounts and concessionary schemes which are available on all modes including bus, rail and ferry. The review will consider options against a background where the costs of car travel are declining and public transport costs are increasing, exacerbating the impact on those living in poverty. The Scottish Government will also consult with young people’s views on the impacts of COVID 19 and post lockdown measures on public transport usage and behaviour to inform this, and as part of the review of discounts available on public transport to those under the age of 26. •	Progress the on-going review of transport governance in Scotland to ensure it is fully aligned with the climate and traffic reduction targets, and that capacity is in place to achieve active travel goals. •	Introduce a Community Bus Fund that will support local transport authorities to improve local public transport in their areas.  •	Support the delivery of publicly funded lifeline ferry services in cases where essential connectivity cannot be met by the normal operation of the market. •	As there are areas of transport such as fuel duty, vehicle taxes and rail services, where regulation and reserved issues constrain Scotland's ability to make and implement necessary policies. The Scottish government will press the UK Government for further devolution of transport, specifically with regard to rail infrastructure and services.","United Kingdom","0","0","Green","Recharge and Refuel"
"Sustainable aviation","The UK Government will drive the update of sustainable aviation fuels and achieve investments in R&D to develop zero-emission aircraft and updating infrastructure at UK airports and seaports. To achieve this, the Government will: •	Establish the Jet Zero Council as a sector-wide partnership to accelerate the development and adoption of new technologies. •	Invest £15 million into FlyZero, a 12-month study into the strategic, technical and commercial issues in designing and developing zero-emission aircraft that could enter service in 2030. •	A £15 million competition to support the production of sustainable aviation fuels (SAF) in the UK in 2021, with a mandate starting from as early as 2025. •	Establish a SAF clearing house to enable the UK to certify new fuels, driving innovation in this space.  •	Consult on a SAF mandate (starting from as early as 2025) to blend greener fuels into kerosene, which will create a market-led demand for these alternative fuels. •	Invest in R&D into the infrastructure upgrades required at UK airports to move to battery and hydrogen aircrafts. Together, the UK could save nearly 15 MtCO2e by 2050 from SAF.","United Kingdom","36","0.01","Green","Power Up"
"Sustainable energy on the islands","The actions included in this measure are focused on promoting an Agenda for the Energy Transition in the Spanish Islands and supporting projects for the penetration and integration of renewable energy sources in island and non-peninsular systems.","Spain","700","0.99","Green","Power Up"
"Sustainable Forest Management","Development of the Spanish Forestry Sector Strategy.","Spain","0","0","Green","Other/Uncategorised"
"Sustainable Forest Management","Investment in sustainable forest management includes: (i) A set of actions for forest management, ii) actions to adapt to climate change and iii) actions aimed at areas in demographic decline.","Spain","401.1","0.57","Green","Other/Uncategorised"
"Sustainable Mobility and Transportation Financing Law","The main objective of this Law is to contribute to the regulatory framework that allows public transport and mobility policies of the administrations of Spain to respond to the real needs of citizens and the challenges of the 21st century.","Spain","0","0","Green","Recharge and Refuel"
"Sustainable public transport (Scotland)","To increase access to sustainable bus travel and reduce congestion, the Scottish Government is: •	Investing £500 million to increase bus infrastructure in priority areas.  •	Launching a Bus Partnership Fund to support local authorities in making bus journeys quicker and more reliable. •	Investing £9 million to support ultra-low and zero emission bus fleet renewal investments.  •	Scottish Enterprise is providing support to the supply chain to assist its transition to zero emission manufacturing. Additionally, the Scottish Government provided £10 million for the Bus Priority Rapid Development Fund during the pandemic for temporary bus measures  To support other forms of public transport, the Scottish Government has: •	Provided £9 million of emergency funding for Glasgow Subway and Edinburgh Trams •	Aims to maintain a long-term plan and investment programme for new ferries and development at ports to improve resilience, reliability, capacity, and accessibility, increase standardisation, and reduce emissions to meet the needs of island communities.","United Kingdom","618","0.19","Green","Recharge and Refuel"
"Switch to fast broadband connections – transition to 100/200 MBPS (UltraFast) broadband connections and strengthening of superfast broadband demand","This reform puts in place a coherent plan to install optical fiber and the accompanying equipment in buildings, as well as submarine cables in the case of Greek islands, enabling greater coverage of ultra-high speed network connections","Greece","0","0","Digital","Connect"
"Tackle injustice and discrimination (Scotland)","To tackle social injustice and systemic racism within Scotland and support those in facing discrimination, the Scottish Government aims to:  •	Enable better collection and use of minority ethnic health data, to ensure the public health response is properly focused. •	Undertake an audit of past and current initiatives to tackle systemic racism. •	Take actions to tackle the barriers faced by our minority communities in work, education, health, and housing. •	Sponsor an independent expert group to recommend how Scotland’s existing and future museum collections can better recognise and represent a more accurate portrayal of Scotland’s colonial and slavery history. •	Work with the John Smith Centre to establish a Minority Ethnic Leadership and Development Programme, a 9 month professional and personal development programme for 50 black and minority ethnic people from across Scotland. •	Ensure housing strategies properly recognise and address challenges faced by minority ethic communities and support them with the tools they need to do so. •	Provide £2 million (already available) to ensure the needs of Gypsy/Travellers are appropriately resourced going forward, such as providing additional and better accommodation. •	Address the under representation of Minority Ethnic teachers in Scotland by exploring alternative pathways into teaching for Minority Ethnic and other underrepresented groups.","United Kingdom","0","0","Other","Other/Uncategorised"
